Sample_Name	Sample_Group	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Type	R1	R2	BAM
PCSI_0357_St_R	PCSI_0357	?	?	?	wgs	Human	Normal	/dss/dssfs02/lwp-dss-0001/pn29ya/pn29ya-dss-0000/projects/hPDAC/ICGC_PACA_CA_WGS/ega2_complete/EGAF00002239684/PCSI_0357_St_R.bam	/dss/dssfs02/lwp-dss-0001/pn29ya/pn29ya-dss-0000/projects/hPDAC/ICGC_PACA_CA_WGS/ega2_complete/EGAF00002239684/PCSI_0357_St_R.bam	NA
PCSI_0357_Pa_P_5262	PCSI_0357	?	?	?	wgs	Human	Tumor	/dss/dssfs02/lwp-dss-0001/pn29ya/pn29ya-dss-0000/projects/hPDAC/ICGC_PACA_CA_WGS/ega2_complete/EGAF00002239683/PCSI_0357_Pa_P_5262.bam	/dss/dssfs02/lwp-dss-0001/pn29ya/pn29ya-dss-0000/projects/hPDAC/ICGC_PACA_CA_WGS/ega2_complete/EGAF00002239683/PCSI_0357_Pa_P_5262.bam	NA
