Sample_Name	Sample_Group	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Type	R1	R2	BAM
ASHPC_0022_Pa_P	ASHPC_0022	?	?	?	wgs	Human	Tumor	NA	NA	/dss/dssfs03/tumdss/pn72lo/pn72lo-dss-0006/projects/hPDAC/ICGC_PACA_CA_WGS/input/GRCh38.p12_bam/batch04/ASHPC_0022_Pa_P/results/bam/ASHPC_0022_Pa_P.Tumor.bam
ASHPC_0022_Pa_R	ASHPC_0022	?	?	?	wgs	Human	Normal	NA	NA	/dss/dssfs03/tumdss/pn72lo/pn72lo-dss-0006/projects/hPDAC/ICGC_PACA_CA_WGS/input/GRCh38.p12_bam/batch04/ASHPC_0022_Pa_R/results/bam/ASHPC_0022_Pa_R.Normal.bam
