Sample_Name	Sample_Group	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Type	R1	R2	BAM
PCSI_0607_Lv_X	PCSI_0607	?	?	?	wgs	Human	Tumor	NA	NA	/dss/dssfs03/tumdss/pn72lo/pn72lo-dss-0006/projects/hPDAC/ICGC_PACA_CA_WGS/input/GRCh38.p12/batch04/PCSI_0607_Lv_X/results/bam/PCSI_0607_Lv_X.Tumor.bam
PCSI_0607_Ly_R	PCSI_0607	?	?	?	wgs	Human	Normal	NA	NA	/dss/dssfs03/tumdss/pn72lo/pn72lo-dss-0006/projects/hPDAC/ICGC_PACA_CA_WGS/input/GRCh38.p12/batch04/PCSI_0607_Ly_R/results/bam/PCSI_0607_Ly_R.Normal.bam
