Sample_Name	Sample_Group	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Type	R1	R2	BAM
PCSI_0683_Pa_P_5262	PCSI_0683	?	?	?	wgs	Human	Tumor	NA	NA	/dss/dssfs03/tumdss/pn72lo/pn72lo-dss-0006/projects/hPDAC/ICGC_PACA_CA_WGS/input/GRCh38.p12_bam/batch02//PCSI_0683_Pa_P/results/bam/PCSI_0683_Pa_P.Tumor.bam
PCSI_0683_Si_R	PCSI_0683	?	?	?	wgs	Human	Normal	NA	NA	/dss/dssfs03/tumdss/pn72lo/pn72lo-dss-0006/projects/hPDAC/ICGC_PACA_CA_WGS/input/GRCh38.p12_bam/batch02/PCSI_0683_Si_R/results/bam/PCSI_0683_Si_R.Normal.bam
